PA107	PA449053	associated
PA109	PA165950341	associated
PA117	PA450626	associated
PA124	PA451791	associated
PA126	PA164712462	associated
PA126	PA449293	associated
PA128	PA449233	associated
PA128	PA449409	associated
PA128	PA449969	associated
PA128	PA451131	associated
PA128	PA451791	associated
PA131	PA451365	associated
PA133787052	PA165980614	associated
PA134865839	PA448897	associated
PA134872551	PA448073	associated
PA134872551	PA450688	associated
PA134914705	PA448068	associated
PA134963132	PA448515	associated
PA134963132	PA450379	associated
PA134992686	PA449899	associated
PA139	PA448780	associated
PA142670838	PA166122986	associated
PA142672353	PA450085	associated
PA144596484	PA450395	associated
PA145	PA164713220	associated
PA145	PA452620	associated
PA155	PA150595617	associated
PA166049147	PA165958354	associated
PA176	PA451346	associated
PA189	PA133950441	associated
PA189	PA451363	associated
PA235	PA448497	associated
PA245	PA448803	associated
PA24536	PA451089	associated
PA267	PA449599	associated
PA267	PA450705	associated
PA267	PA451735	associated
PA26874	PA10832	associated
PA26874	PA451749	associated
PA26875	PA134687887	associated
PA27433	PA164713176	associated
PA27433	PA449552	associated
PA28063	PA451743	associated
PA28065	PA451261	associated
PA28065	PA451743	associated
PA28075	PA164712563	associated
PA28469	PA10176	associated
PA28976	PA449015	associated
PA28976	PA452229	associated
PA290	PA164774763	associated
PA29196	PA130620651	associated
PA29973	PA164783990	associated
PA30432	PA133950441	associated
PA30676	PA452233	associated
PA31	PA449719	associated
PA31	PA451483	associated
PA31534	PA151249535	associated
PA31744	PA164713176	associated
PA31744	PA449412	associated
PA31801	PA449748	associated
PA31945	PA164712721	associated
PA31945	PA448073	associated
PA31945	PA448084	associated
PA31945	PA450586	associated
PA31945	PA451735	associated
PA31945	PA452619	associated
PA33759	PA449899	associated
PA35056	PA449211	associated
PA35056	PA450413	associated
PA35057	PA450413	associated
PA35064	PA448497	associated
PA35066	PA152241907	associated
PA35647	PA450085	associated
PA36017	PA449165	associated
PA36394	PA10390	associated
PA36679	PA128406956	associated
PA36679	PA450761	associated
PA36679	PA452621	associated
PA369	PA150595617	associated
PA369	PA448803	associated
PA37188	PA450731	associated
PA37413	PA449014	associated
PA38302	PA164713257	associated
PA39	PA448068	associated
PA390	PA134308647	associated
PA419	PA165110775	associated
PA7360	PA134687924	associated
PA7360	PA448803	associated
PA7360	PA449383	associated
PA7360	PA449748	associated
PA7360	PA450761	associated
